F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,84890,0,,103866,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,48651,0,,75270,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,56248,0,,95167,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,78170,0,,97782,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,70623,0,,117317,1,,1,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,78150,0,,106891,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,24007,0,,77012,1,,1,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,51472,0,,62702,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,50798,0,,104220,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,42738,0,,93330,1,,2,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,1,,Manual,1,,Professional,1,,58585,0,,86770,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,45982,0,,73276,1,,3,1,,2,0,
F,1,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,50790,0,,102114,1,,3,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,91599,0,,106875,1,,1,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,50018,0,,26209,1,,2,1,,2,0,
F,1,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,53459,0,,63488,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,38588,0,,62553,1,,2,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,119540,0,,60713,1,,1,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,119982,0,,46024,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,86953,0,,48946,1,,1,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,116368,0,,70041,1,,2,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,52145,0,,116323,1,,1,1,,2,0,
F,1,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,49609,0,,104668,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,58306,0,,128776,1,,2,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,1,,Professional,0,,61686,0,,183231,1,,0,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,109883,0,,98032,1,,2,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,0,,106718,0,,140875,1,,1,1,,2,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,97646,0,,185657,1,,2,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,58916,0,,145176,1,,4,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,1,,Professional,0,,93934,0,,90366,1,,2,1,,2,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,99137,0,,86749,1,,1,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,112044,0,,101131,1,,1,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,108728,0,,81421,1,,0,1,,2,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,172444,0,,73189,1,,0,1,,2,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,148109,0,,50320,1,,2,1,,3,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,66900,0,,81490,1,,2,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,97834,0,,93756,1,,2,1,,0,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,1,,129910,0,,107126,1,,2,1,,0,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,113883,0,,83120,1,,2,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,112820,0,,89815,1,,2,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,106839,0,,81567,1,,2,1,,0,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,108740,0,,104005,1,,2,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,98519,0,,164291,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,82707,0,,138418,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,66520,0,,136555,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,85087,0,,114730,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,102445,0,,160265,1,,3,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,88445,0,,139552,1,,3,1,,1,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,73151,0,,154573,1,,4,1,,1,0,
F,1,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,18709,0,,165394,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,51078,0,,128534,1,,3,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,52280,0,,127739,1,,3,1,,1,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,88615,0,,122978,1,,3,1,,3,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,65730,0,,91607,1,,3,1,,1,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,32857,0,,169568,1,,4,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,46078,0,,173834,1,,2,1,,1,0,
F,1,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,32122,0,,180861,1,,3,1,,1,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,34879,0,,141306,1,,4,1,,2,0,
F,1,,M,1,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,39266,0,,72083,1,,0,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,44139,0,,102901,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,0,,37010,0,,125463,1,,2,1,,2,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,64613,0,,125485,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,38527,0,,127801,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,42811,0,,105527,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,48772,0,,155993,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,27610,0,,164943,1,,4,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,64633,0,,97392,1,,3,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,1,,Professional,1,,32916,0,,123794,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,43666,0,,145642,1,,3,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,54938,0,,150167,1,,3,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,1,,29691,0,,96447,1,,2,1,,2,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,66934,0,,89097,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,1,,124211,0,,122139,1,,3,1,,1,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,63251,0,,127971,1,,4,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,82448,0,,121401,1,,3,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,1,,77855,0,,106090,1,,3,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,94385,0,,171700,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,37229,0,,103232,1,,2,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,33375,0,,92491,1,,2,1,,1,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,45639,0,,100009,1,,2,1,,2,0,
F,1,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,57274,0,,167552,1,,4,1,,2,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,32033,0,,58842,1,,0,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,54434,0,,58637,1,,0,1,,1,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,56829,0,,72684,1,,0,1,,1,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,1,,Professional,1,,89154,0,,13853,1,,0,1,,1,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,97616,0,,19497,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,151318,0,,74697,1,,0,1,,4,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,141844,0,,69335,1,,0,1,,3,0,
F,1,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,184504,0,,76084,1,,0,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,0,,80891,0,,20896,1,,0,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,91037,0,,19837,1,,0,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,83404,0,,52357,1,,0,1,,2,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,79819,0,,118844,1,,1,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,85829,0,,97749,1,,1,1,,2,0,
F,1,,M,1,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,104279,0,,106318,1,,1,1,,2,0,
F,1,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,121950,0,,122977,1,,1,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,95877,0,,173468,1,,4,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,80055,0,,178271,1,,3,1,,3,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,112289,0,,95006,1,,2,1,,2,0,
F,1,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,111071,0,,167289,1,,4,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,89692,0,,135157,1,,2,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,86347,0,,141365,1,,2,1,,3,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,96935,0,,155272,1,,2,1,,3,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,84010,0,,157571,1,,4,1,,1,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,81296,0,,103125,1,,4,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,1,,83256,0,,129459,1,,4,1,,1,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,96418,0,,123087,1,,3,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,55404,0,,168818,1,,4,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,50201,0,,101221,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,52116,0,,105179,1,,3,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,96883,0,,128332,1,,3,1,,1,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,87565,0,,96679,1,,3,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,48200,0,,116530,1,,3,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,69431,0,,128326,1,,4,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,91233,0,,121455,1,,4,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,79388,0,,161354,1,,4,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,76220,0,,184160,1,,4,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,88557,0,,22461,1,,2,1,,2,0,
F,1,,M,1,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,98934,0,,95063,1,,2,1,,1,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,107014,0,,62398,1,,1,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,97838,0,,50264,1,,0,1,,1,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,58807,0,,46077,1,,0,1,,2,0,
F,0,,M,1,,M,1,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,75300,0,,64690,1,,0,1,,1,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,69781,0,,20671,1,,2,1,,1,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,79403,0,,52156,1,,1,1,,1,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,82373,0,,56036,1,,2,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,82678,0,,51689,1,,2,1,,2,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,95975,0,,54209,1,,2,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,97258,0,,67375,1,,0,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,1,,123475,0,,38001,1,,2,1,,2,0,
F,1,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,131035,0,,78323,1,,0,1,,3,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,0,,136970,0,,97574,1,,0,1,,4,0,
F,0,,M,0,,M,1,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,1,,Professional,1,,140179,0,,88622,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,0,,50003,0,,79075,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,1,,Professional,0,,139004,0,,99505,1,,0,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,1,,Manual,1,,Professional,1,,127974,0,,113091,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,1,,Manual,0,,Professional,0,,101550,0,,15522,1,,1,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,88902,0,,13541,1,,1,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,1,,146565,0,,25627,1,,1,1,,4,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,96421,0,,31550,1,,1,1,,4,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,154474,0,,56406,1,,0,1,,1,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,97283,0,,56250,1,,1,1,,0,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,104042,0,,23103,1,,2,1,,3,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,98748,0,,23122,1,,1,1,,1,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,145275,0,,24346,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,116585,0,,24241,1,,0,1,,0,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,75549,0,,46864,1,,2,1,,2,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,0,,112925,0,,59246,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,0,,85754,0,,22622,1,,1,1,,1,0,
F,0,,M,1,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,86138,0,,19664,1,,2,1,,1,0,
F,1,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,169863,0,,49777,1,,2,1,,4,0,
F,1,,M,0,,M,0,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,0,,130738,0,,22376,1,,1,1,,3,0,
F,0,,M,0,,M,0,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,92889,0,,32077,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,82760,0,,60618,1,,0,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,1,,109129,0,,49888,1,,2,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,112116,0,,52713,1,,0,1,,2,0,
F,0,,M,0,,M,1,,S,1,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,117520,0,,12608,1,,1,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,95526,0,,10227,1,,1,1,,0,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,1,,Clerical,0,,Manual,0,,Professional,1,,156297,0,,41092,1,,3,1,,4,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,114324,0,,60473,1,,1,1,,2,0,
F,0,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,0,,Professional,0,,82817,0,,46728,1,,1,1,,2,0,
F,0,,M,1,,M,1,,S,1,,Skilled Manual,0,,Clerical,1,,Manual,0,,Professional,1,,72518,0,,53160,1,,0,1,,2,0,
F,1,,M,0,,M,0,,S,0,,Skilled Manual,0,,Clerical,0,,Manual,1,,Professional,1,,88666,0,,81306,1,,0,1,,2,0,
F,0,,M,1,,M,0,,S,0,,Skilled Manual,1,,Clerical,0,,Manual,1,,Professional,1,,91177,0,,84705,1,,0,1,,2,0,
